code,pubDate,statDate,NRTurnRatio,NRTurnDays,INVTurnRatio,INVTurnDays,CATurnRatio,AssetTurnRatio
sz.002166,2024-04-10,2023-12-31,2.844639,126.553839,0.749361,480.384307,0.587711,0.329025
sz.002167,2024-04-19,2023-12-31,8.821723,40.808357,2.345244,153.505032,1.031058,0.441223
sz.002168,2024-04-20,2023-12-31,1.824426,197.322332,2.884844,124.792013,0.732143,0.290049
sz.002169,2024-04-29,2023-12-31,2.065069,174.328282,2.383926,151.013046,0.812553,0.370980
sz.002170,2024-04-27,2023-12-31,25.100699,14.342230,5.004844,71.930946,2.047435,0.645963
sz.002171,2024-04-26,2023-12-31,18.057764,19.936023,14.719003,24.458183,4.555967,2.953945
sz.002172,2024-04-27,2023-12-31,5.184030,69.444044,10.475110,34.367214,1.389545,0.878396
sz.002173,2024-04-13,2023-12-31,10.435091,34.498981,15.668572,22.975888,1.070754,0.348653
sz.002174,2024-04-29,2023-12-31,5.867872,61.351037,,,0.673845,0.264298
sz.002175,2024-04-27,2023-12-31,6.567194,54.817929,2.184017,164.835165,1.045029,0.399615
sz.002176,2024-04-29,2023-12-31,4.061960,88.627158,3.318708,108.476211,0.809934,0.412496
sz.002177,2024-04-25,2023-12-31,8.132584,44.266372,9.542804,37.724777,0.109644,0.040504
sz.002178,2024-04-30,2023-12-31,2.139113,168.294089,1.476754,243.770314,0.585625,0.417375
sz.002179,2024-03-16,2023-12-31,1.707076,210.886937,2.593365,138.813912,0.746119,0.595852
sz.002180,2024-04-27,2023-12-31,6.371428,56.502248,2.601832,138.365747,1.223291,0.570854
sz.002181,2024-04-10,2023-12-31,5.368598,67.056612,7.166310,50.235128,0.420676,0.105152
sz.002182,2024-04-25,2023-12-31,4.562519,78.903782,5.081540,70.845223,1.924706,0.743580
